,type
108,5
165,3
209,3
1,5
166,4
70,2
140,1
131,1
94,2
140,1
147,3
116,0
152,5
143,0
40,1
197,4
83,1
164,5
74,5
189,1
16,4
1,5
226,2
37,5
3,2
101,3
23,4
28,3
0,2
43,4
82,3
54,0
15,1
196,5
87,3
5,1
84,3
115,1
203,4
108,5
26,4
196,5
42,2
191,0
104,3
195,2
8,3
41,0
59,3
230,4
101,3
40,1
28,3
86,1
229,1
217,5
138,1
55,0
238,2
229,1
180,1
94,2
58,3
102,5
217,5
12,1
128,0
96,3
147,3
192,2
101,3
124,0
195,2
71,3
155,5
152,5
115,1
186,2
96,3
105,1
178,5
122,4
223,2
144,2
32,4
125,0
87,3
218,1
49,4
140,1
55,0
149,2
14,3
175,4
119,2
12,1
120,2
227,2
73,5
42,2
21,1
42,2
106,5
169,1
176,5
234,4
45,1
135,4
221,0
131,1
213,3
101,3
125,0
141,1
126,1
133,5
75,0
121,1
189,1
13,1
221,0
25,4
134,0
97,5
84,3
63,2
2,4
185,3
76,5
211,3
140,1
105,1
136,4
132,2
139,2
238,2
25,4
227,2
190,3
139,2
227,2
55,0
57,4
43,4
20,2
21,1
100,2
182,2
171,3
111,3
45,1
23,4
65,4
189,1
134,0
105,1
112,4
127,0
221,0
113,5
10,3
167,5
108,5
2,4
203,4
53,2
154,0
54,0
225,0
87,3
223,2
158,1
25,4
71,3
229,1
46,0
36,4
84,3
57,4
212,0
157,1
197,4
161,3
177,0
132,2
56,3
59,3
106,5
111,3
78,2
74,5
164,5
191,0
138,1
101,3
98,1
143,0
54,0
218,1
161,3
37,5
220,0
0,2
58,3
36,4
54,0
220,0
171,3
2,4
24,5
24,5
7,4
193,4
142,0
17,0
238,2
10,3
120,2
193,4
121,1
165,3
76,5
24,5
71,3
211,3
153,1
166,4
154,0
199,2
179,2
0,2
25,4
81,2
221,0
26,4
53,2
82,3
52,5
46,0
192,2
109,4
221,0
49,4
106,5
84,3
26,4
125,0
138,1
3,2
192,2
189,1
21,1
100,2
216,0
64,2
180,1
223,2
234,4
155,5
0,2
189,1
191,0
66,0
98,1
129,0
144,2
131,1
178,5
200,3
15,1
151,0
143,0
225,0
131,1
66,0
73,5
120,2
157,1
197,4
12,1
169,1
168,0
199,2
209,3
57,4
183,5
52,5
82,3
26,4
231,0
223,2
175,4
43,4
103,5
167,5
218,1
125,0
52,5
199,2
70,2
94,2
80,0
102,5
46,0
235,4
49,4
25,4
134,0
137,2
60,4
101,3
217,5
209,3
147,3
12,1
5,1
6,4
174,0
190,3
111,3
109,4
43,4
234,4
55,0
217,5
45,1
130,2
144,2
61,1
174,0
165,3
80,0
116,0
130,2
121,1
211,3
0,2
189,1
148,0
130,2
220,0
210,0
185,3
227,2
115,1
82,3
102,5
56,3
42,2
71,3
151,0
10,3
63,2
112,4
92,1
165,3
165,3
119,2
14,3
56,3
101,3
173,1
30,4
173,1
101,3
108,5
199,2
87,3
87,3
125,0
30,4
137,2
82,3
86,1
126,1
5,1
189,1
137,2
227,2
173,1
42,2
59,3
113,5
49,4
102,5
49,4
28,3
225,0
76,5
106,5
151,0
150,1
129,0
84,3
104,3
42,2
58,3
221,0
168,0
225,0
135,4
134,0
48,5
48,5
233,5
135,4
58,3
166,4
151,0
97,5
134,0
98,1
196,5
137,2
226,2
150,1
188,4
91,4
24,5
161,3
211,3
106,5
41,0
157,1
179,2
126,1
234,4
230,4
164,5
143,0
165,3
197,4
70,2
159,5
8,3
169,1
71,3
98,1
212,0
191,0
171,3
40,1
132,2
135,4
177,0
234,4
119,2
152,5
58,3
106,5
144,2
40,1
151,0
48,5
238,2
55,0
229,1
113,5
216,0
158,1
14,3
13,1
104,3
15,1
152,5
229,1
108,5
52,5
87,3
113,5
52,5
121,1
226,2
74,5
226,2
7,4
137,2
159,5
150,1
133,5
224,2
185,3
47,0
52,5
131,1
226,2
223,2
218,1
178,5
103,5
23,4
23,4
235,4
160,5
209,3
238,2
22,4
94,2
65,4
176,5
205,5
17,0
36,4
68,1
168,0
188,4
119,2
53,2
148,0
226,2
216,0
213,3
199,2
196,5
167,5
172,5
211,3
52,5
45,1
74,5
221,0
193,4
73,5
186,2
16,4
161,3
174,0
36,4
37,5
209,3
186,2
82,3
207,1
238,2
133,5
195,2
53,2
135,4
109,4
168,0
56,3
171,3
3,2
111,3
184,4
48,5
191,0
126,1
30,4
64,2
152,5
112,4
211,3
15,1
70,2
47,0
148,0
52,5
121,1
100,2
234,4
24,5
185,3
111,3
7,4
153,1
177,0
186,2
30,4
144,2
59,3
73,5
137,2
106,5
187,5
21,1
78,2
128,0
187,5
210,0
84,3
238,2
76,5
216,0
195,2
224,2
197,4
133,5
54,0
159,5
180,1
37,5
136,4
5,1
104,3
149,2
48,5
173,1
178,5
101,3
98,1
59,3
128,0
45,1
184,4
223,2
28,3
200,3
140,1
116,0
159,5
26,4
6,4
56,3
159,5
131,1
54,0
233,5
140,1
193,4
2,4
126,1
25,4
101,3
81,2
210,0
58,3
204,0
6,4
147,3
121,1
225,0
131,1
129,0
24,5
178,5
7,4
234,4
173,1
148,0
143,0
189,1
71,3
152,5
84,3
24,5
119,2
134,0
30,4
20,2
152,5
197,4
192,2
6,4
131,1
173,1
135,4
43,4
25,4
169,1
43,4
229,1
24,5
130,2
182,2
57,4
204,0
37,5
124,0
96,3
184,4
185,3
126,1
180,1
166,4
191,0
213,3
212,0
124,0
179,2
105,1
106,5
207,1
202,0
126,1
54,0
233,5
66,0
230,4
221,0
197,4
183,5
73,5
86,1
147,3
227,2
136,4
233,5
104,3
48,5
97,5
64,2
120,2
46,0
185,3
183,5
209,3
100,2
100,2
159,5
14,3
0,2
195,2
30,4
147,3
200,3
36,4
167,5
52,5
9,5
200,3
104,3
205,5
161,3
161,3
98,1
217,5
227,2
91,4
160,5
42,2
66,0
65,4
169,1
226,2
66,0
212,0
77,4
43,4
168,0
216,0
230,4
189,1
63,2
0,2
166,4
134,0
188,4
6,4
182,2
73,5
229,1
12,1
108,5
84,3
84,3
115,1
213,3
213,3
23,4
134,0
92,1
83,1
185,3
73,5
64,2
58,3
185,3
9,5
140,1
37,5
61,1
229,1
213,3
94,2
172,5
66,0
191,0
15,1
58,3
221,0
187,5
159,5
164,5
150,1
197,4
65,4
94,2
72,0
84,3
151,0
116,0
153,1
179,2
128,0
227,2
210,0
78,2
197,4
234,4
238,2
72,0
235,4
164,5
151,0
120,2
28,3
91,4
112,4
12,1
115,1
172,5
6,4
9,5
200,3
82,3
177,0
16,4
185,3
196,5
225,0
206,4
157,1
135,4
164,5
234,4
140,1
141,1
47,0
195,2
182,2
229,1
182,2
